iter	Passed	Remaining
0	1	102
1	1	91
2	2	86
3	3	83
4	4	80
5	4	77
6	5	73
7	6	72
8	7	70
9	7	69
10	8	68
11	9	66
12	9	64
13	10	63
14	10	62
15	11	60
16	12	59
17	12	57
18	13	56
19	13	55
20	14	53
21	14	52
22	15	51
23	16	50
24	16	49
25	17	48
26	17	47
27	18	46
28	18	45
29	19	44
30	19	43
31	20	43
32	20	42
33	21	41
34	21	40
35	22	39
36	22	38
37	23	37
38	23	36
39	23	35
40	24	34
41	24	34
42	25	33
43	25	32
44	26	31
45	26	31
46	26	30
47	27	29
48	27	28
49	28	28
50	28	27
51	29	27
52	29	26
53	30	25
54	30	25
55	31	24
56	31	24
57	32	23
58	33	23
59	33	22
60	34	21
61	34	21
62	35	20
63	35	20
64	36	19
65	37	19
66	37	18
67	38	18
68	38	17
69	39	16
70	39	16
71	40	15
72	40	15
73	41	14
74	41	13
75	42	13
76	43	12
77	43	12
78	44	11
79	44	11
80	45	10
81	45	10
82	46	9
83	47	8
84	47	8
85	48	7
86	48	7
87	49	6
88	49	6
89	50	5
90	50	5
91	51	4
92	51	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
